Date,Open,High,Low,Close,Adj Close,Volume
22-04-2016,1209.5,1217.699951,1202.099976,1208.530029,1088.244019,1964126
25-04-2016,1201.150024,1228.530029,1201.150024,1225.619995,1103.632813,2267654
26-04-2016,1224.5,1246.75,1221,1244.900024,1120.993896,2554368
27-04-2016,1240,1257.300049,1237.949951,1255.550049,1130.584229,1848670
28-04-2016,1250.650024,1270,1249.050049,1263.880005,1138.084961,4992744
29-04-2016,1258.5,1271,1255,1267.75,1141.569824,2372178
02-05-2016,1264.5,1265,1250,1263.349976,1137.607788,1116692
03-05-2016,1262.5,1265,1236,1239.050049,1115.72644,2153118
04-05-2016,1236.949951,1247.030029,1228.5,1239,1115.681396,1364892
05-05-2016,1239,1244.969971,1231.780029,1235.150024,1112.214722,1246566
06-05-2016,1232.5,1242.150024,1215.5,1236.699951,1113.610229,885598
09-05-2016,1236.699951,1259,1228.199951,1256.280029,1131.241211,1821276
10-05-2016,1257.5,1266.969971,1248,1261.449951,1135.896729,1158534
11-05-2016,1250,1262.800049,1245,1259.150024,1133.825928,1598716
12-05-2016,1260.280029,1284.949951,1260.280029,1283.099976,1155.39209,1513082
13-05-2016,1282.5,1283,1255.069946,1261.699951,1136.121948,1621730
16-05-2016,1269,1282.400024,1261.25,1275.569946,1148.61145,1111526
17-05-2016,1282.099976,1295.619995,1276,1285.099976,1157.192749,1756698
18-05-2016,1282.930054,1282.930054,1263.030029,1275.550049,1148.593262,1500740
19-05-2016,1277.5,1280,1263.050049,1278.469971,1151.222778,1038792
20-05-2016,1271.150024,1282.900024,1261.400024,1264.650024,1138.778076,1230918
23-05-2016,1272,1272.949951,1240.099976,1245.719971,1121.7323,1533016
24-05-2016,1242,1244.119995,1229.800049,1233.849976,1111.044189,1339158
25-05-2016,1240.5,1266.469971,1240.5,1263.219971,1137.490723,1548678
26-05-2016,1265,1282.449951,1252.550049,1274.349976,1147.512695,1943248
27-05-2016,1276.569946,1289.930054,1275.300049,1286.319946,1158.291382,1104676
30-05-2016,1291.5,1320.969971,1291,1318.199951,1186.998779,1349464
31-05-2016,1320,1323.5,1281,1284.699951,1156.832886,3722608
01-06-2016,1285.599976,1322.5,1285.5,1316.780029,1185.719727,1911942
02-06-2016,1300,1327.150024,1300,1325.069946,1193.18457,1408756
03-06-2016,1325.699951,1329,1310.25,1314.780029,1183.918945,1554922
06-06-2016,1310.25,1319.5,1301.599976,1306.25,1200.89917,1322026
07-06-2016,1307,1319.5,1306.5,1315.569946,1209.467651,1202194
08-06-2016,1308.619995,1314.280029,1302.75,1306.550049,1201.175049,938266
09-06-2016,1311.199951,1311.199951,1277.599976,1288.619995,1184.690918,1562138
10-06-2016,1283,1301.619995,1276.599976,1277.880005,1174.817139,1396832
13-06-2016,1270,1276.680054,1259,1273.5,1170.790649,1029978
14-06-2016,1279.469971,1279.469971,1259.119995,1267.430054,1165.210083,977570
15-06-2016,1265,1282.449951,1261,1278.430054,1175.322998,1270844
16-06-2016,1272.780029,1282.349976,1258.219971,1279.150024,1175.984741,1145070
17-06-2016,1279.5,1305,1279.5,1301.300049,1196.348389,1878988
20-06-2016,1301.300049,1334,1295.900024,1329.650024,1222.411865,1872838
21-06-2016,1331.75,1332.5,1320.699951,1325.599976,1218.688477,1027690
22-06-2016,1325,1338.849976,1315.880005,1333.819946,1226.245728,1761712
23-06-2016,1327.5,1329.75,1312.650024,1322.680054,1216.004028,1397014
